epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.02342,3.13294,6.07015,2.98007,0.00031,0.16762,0.0043,0.00066,2.84453,4.27402,2.92077,0.0002352,0.0002352,0.0002352
2,14.8784,2.71034,5.29248,2.47137,0.77141,0.06429,0.03898,0.01819,2.5633,3.78393,2.4657,0.000315624,0.000315624,0.000315624
3,21.7846,2.52438,4.77304,2.29782,0.57091,0.08549,0.06275,0.02201,2.34658,3.21987,2.31001,0.000237541,0.000237541,0.000237541
