epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2188,2.8442,5.44344,2.77343,0.80946,0.03154,0.01748,0.00772,2.5333,3.83272,2.66396,0.0002352,0.0002352,0.0002352
2,29.9929,2.29795,3.99378,2.13203,0.77918,0.12388,0.18359,0.07809,2.08431,2.54449,2.17886,0.000315624,0.000315624,0.000315624
3,44.5803,2.06776,3.3551,1.94568,0.691,0.22752,0.25295,0.12111,2.06272,2.27848,2.06861,0.000237541,0.000237541,0.000237541
