                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0073,                 5.6476,                 2.7615,                0.00138,                0.26516,                0.01932,                0.00689,                 2.4315,                 4.0019,                 2.4678,              0.0002352,              0.0002352,              0.0002352
                      2,                 2.4433,                 4.5209,                 2.1729,                0.45674,                0.12173,                0.12163,                0.06013,                 2.1693,                 2.9576,                 2.1252,             0.00031562,             0.00031562,             0.00031562
                      3,                 2.2244,                  4.106,                 2.0061,                0.84404,                0.11308,                0.16169,                0.07694,                 2.1447,                 2.9196,                 1.9554,             0.00023754,             0.00023754,             0.00023754
