epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.81477,3.00825,5.62251,2.74816,0.00165,0.35487,0.03845,0.01821,2.56473,3.6417,2.53892,0.0002352,0.0002352,0.0002352
2,18.7954,2.41695,4.31076,2.14667,0.57092,0.08641,0.10218,0.04992,2.19851,2.85324,2.10556,0.000315624,0.000315624,0.000315624
3,27.7009,2.23436,3.81146,2.01322,0.79027,0.11612,0.18975,0.094,2.06238,2.56917,1.96904,0.000237541,0.000237541,0.000237541
